# TR : TI K-EDGE IN EUTIO AT 300K.
# NSLS filename: tieuo.300
# NSLS/X11 EDC-5.02 10-Nov-95 00:09:22 E- ENERGY=2.584GEV
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 4966.0 NREG= 3 NPTS= 286 NSCLRS= 3 EF=     .0
# SRB=   -190.0    -30.0     30.0   1234.4
# DEL=           19.995    1.001     .070K
# SEC=             1.000    1.000    1.000
# GAINS:    I0=9       It=9       If=8
# OFFSETS:  I0=49192   It=53981   If=356
#---------------------------------------------------------------------
#     energy          xmu        
  0.5551508E+04   0.3733721E+00
  0.5558142E+04   0.3620237E+00
  0.5564808E+04   0.3512280E+00
  0.5571540E+04   0.3400112E+00
  0.5578257E+04   0.3278323E+00
  0.5585040E+04   0.3157161E+00
  0.5591856E+04   0.3032688E+00
  0.5598708E+04   0.2913568E+00
  0.5605609E+04   0.2792825E+00
  0.5612544E+04   0.2667376E+00
  0.5619499E+04   0.2539622E+00
  0.5626503E+04   0.2413810E+00
  0.5633561E+04   0.2279382E+00
  0.5640636E+04   0.2163621E+00
  0.5647748E+04   0.2040758E+00
  0.5654911E+04   0.1914918E+00
  0.5662094E+04   0.1799093E+00
  0.5669313E+04   0.1675165E+00
  0.5676603E+04   0.1547493E+00
  0.5683895E+04   0.1415710E+00
  0.5691224E+04   0.1286646E+00
  0.5698606E+04   0.1166661E+00
  0.5706027E+04   0.1037167E+00
  0.5713484E+04   0.9171677E-01
  0.5720963E+04   0.7965359E-01
  0.5728497E+04   0.6751855E-01
  0.5736052E+04   0.5451981E-01
  0.5743662E+04   0.4204347E-01
  0.5751294E+04   0.2878566E-01
  0.5758982E+04   0.1656233E-01
  0.5766692E+04   0.3936521E-02
  0.5774441E+04   -.8571924E-02
  0.5782229E+04   -.2069575E-01
  0.5790059E+04   -.3366312E-01
  0.5797910E+04   -.4578892E-01
  0.5805818E+04   -.5885144E-01
  0.5813750E+04   -.7059492E-01
  0.5821741E+04   -.8280732E-01
  0.5829737E+04   -.9516003E-01
  0.5837792E+04   -.1072839E+00
  0.5845888E+04   -.1202734E+00
  0.5854008E+04   -.1327084E+00
  0.5862170E+04   -.1458249E+00
  0.5870393E+04   -.1587323E+00
  0.5878604E+04   -.1715958E+00
  0.5886875E+04   -.1841976E+00
  0.5895189E+04   -.1966596E+00
  0.5903528E+04   -.2089925E+00
  0.5911929E+04   -.2212958E+00
  0.5920337E+04   -.2333719E+00
  0.5928807E+04   -.2452287E+00
  0.5937303E+04   -.2564420E+00
  0.5945861E+04   -.2687204E+00
  0.5954428E+04   -.2807566E+00
  0.5963039E+04   -.2936355E+00
  0.5971676E+04   -.3061977E+00
  0.5980359E+04   -.3187056E+00
  0.5989087E+04   -.3309115E+00
  0.5997843E+04   -.3429747E+00
  0.6006625E+04   -.3555317E+00
  0.6015473E+04   -.3673984E+00
  0.6024329E+04   -.3799148E+00
  0.6033251E+04   -.3921032E+00
  0.6042183E+04   -.4046505E+00
  0.6051199E+04   -.4164671E+00
  0.6060186E+04   -.4286247E+00
  0.6069279E+04   -.4416492E+00
  0.6078343E+04   -.4531178E+00
