 ti edge EuTiO3                                          Feff  6.01a  potph 4.12
 Abs   Z=22 Rmt= 1.089 Rnm= 1.378 K shell
 Pot 1 Z=63 Rmt= 1.727 Rnm= 1.814
 Pot 2 Z=22 Rmt= 1.091 Rnm= 1.386
 Pot 3 Z= 8 Rmt= 0.926 Rnm= 1.141
 Gam_ch=9.067E-01 H-L exch
 Mu=-6.373E+00 kf=2.024E+00 Vint=-2.198E+01 Rs_int= 1.792
 S02  1.000                                              Feff  6.01a ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      6.00     2   1.9895
 feff0002.dat    0.00000     17.25     24.00     3   3.3963
 feff0003.dat    0.00000     57.15      8.00     2   3.4459
 feff0004.dat    0.00000     23.36      6.00     2   3.9790
 feff0005.dat    0.00000     16.43      6.00     3   3.9790
 feff0006.dat    0.00000     63.77     12.00     3   3.9790
 feff0007.dat    0.00000     27.48      6.00     4   3.9790
 feff0008.dat    0.00000      9.80      6.00     4   3.9790
 feff0009.dat    0.00000     42.51      6.00     4   3.9790
 feff0011.dat    0.00000     25.50     48.00     3   4.1245
 feff0012.dat    0.00000     56.76     24.00     2   4.4487
   11/  11 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     8.8000    6.485066E-02  6.499318E-02  3.292049E+01
     8.8500    6.398579E-02  6.616374E-02  3.324402E+01
     8.9000    5.607177E-02  6.691045E-02  3.356389E+01
     8.9500    4.208591E-02  6.722149E-02  3.388101E+01
     9.0000    2.372188E-02  6.709590E-02  3.419615E+01
     9.0500    3.167884E-03  6.679413E-02  3.451007E+01
     9.1000   -1.736324E-02  6.608254E-02  3.482339E+01
     9.1500   -3.556862E-02  6.498326E-02  3.513672E+01
     9.2000   -4.948836E-02  6.352495E-02  3.545065E+01
     9.2500   -5.772992E-02  6.174220E-02  3.576582E+01
     9.3000   -5.961353E-02  5.967507E-02  3.608290E+01
     9.3500   -5.522443E-02  5.736871E-02  3.640259E+01
     9.4000   -4.537006E-02  5.487304E-02  3.672568E+01
     9.4500   -3.145234E-02  5.224266E-02  3.705306E+01
     9.5000   -1.527511E-02  4.953664E-02  3.738564E+01
     9.5500    1.141262E-03  4.687019E-02  3.772346E+01
     9.6000    1.596065E-02  4.424805E-02  3.806814E+01
     9.6500    2.756723E-02  4.173791E-02  3.842058E+01
     9.7000    3.480134E-02  3.940964E-02  3.878147E+01
     9.7500    3.706977E-02  3.733291E-02  3.915111E+01
     9.8000    3.438475E-02  3.557313E-02  3.952912E+01
     9.8500    2.733170E-02  3.418570E-02  3.991423E+01
     9.9000    1.697399E-02  3.320906E-02  4.030421E+01
     9.9500    4.709384E-03  3.265835E-02  4.069600E+01
    10.0000   -7.902621E-03  3.252214E-02  4.108615E+01
    10.0500   -1.931488E-02  3.269533E-02  4.147270E+01
    10.1000   -2.814233E-02  3.319410E-02  4.185255E+01
    10.1500   -3.336204E-02  3.395717E-02  4.222401E+01
    10.2000   -3.438666E-02  3.491858E-02  4.258627E+01
    10.2500   -3.111301E-02  3.601390E-02  4.293930E+01
    10.3000   -2.391791E-02  3.718416E-02  4.328359E+01
    10.3500   -1.360421E-02  3.837782E-02  4.361994E+01
    10.4000   -1.305057E-03  3.955124E-02  4.394930E+01
    10.4500    1.164259E-02  4.066833E-02  4.427264E+01
    10.5000    2.384155E-02  4.169972E-02  4.459093E+01
    10.5500    3.398071E-02  4.262191E-02  4.490504E+01
    10.6000    4.096981E-02  4.341638E-02  4.521579E+01
    10.6500    4.405012E-02  4.406890E-02  4.552390E+01
    10.7000    4.287043E-02  4.456891E-02  4.583006E+01
    10.7500    3.752152E-02  4.490909E-02  4.613485E+01
    10.8000    2.852582E-02  4.508500E-02  4.643884E+01
    10.8500    1.678301E-02  4.509487E-02  4.674254E+01
    10.9000    3.476931E-03  4.493945E-02  4.704644E+01
    10.9500   -1.004737E-02  4.462195E-02  4.735101E+01
    11.0000   -2.242421E-02  4.414800E-02  4.765667E+01
    11.0500   -3.240157E-02  4.354844E-02  4.796298E+01
    11.1000   -3.902194E-02  4.281036E-02  4.827082E+01
