      k          chi          mag           phase @#
     8.1000   -1.158299E-01  1.697276E-01  3.530862E+01
     8.1500   -1.411097E-01  1.616273E-01  3.561896E+01
     8.2000   -1.486231E-01  1.519086E-01  3.591996E+01
     8.2500   -1.404941E-01  1.409563E-01  3.620932E+01
     8.3000   -1.211402E-01  1.292244E-01  3.648391E+01
     8.3500   -9.601506E-02  1.172518E-01  3.673966E+01
     8.4000   -7.027331E-02  1.056812E-01  3.697168E+01
     8.4500   -4.766766E-02  9.526933E-02  3.717511E+01
     8.5000   -2.991702E-02  8.685660E-02  3.734747E+01
     8.5500   -1.662975E-02  8.133826E-02  3.749321E+01
     8.6000   -5.812025E-03  7.909580E-02  3.762557E+01
     8.6500    5.176000E-03  8.002934E-02  3.776383E+01
     8.7000    1.863015E-02  8.346546E-02  3.792422E+01
     8.7500    3.563253E-02  8.843289E-02  3.811383E+01
     8.8000    5.557116E-02  9.396845E-02  3.833188E+01
     8.8500    7.617683E-02  9.927737E-02  3.857375E+01
     8.9000    9.406245E-02  1.037654E-01  3.883401E+01
     8.9500    1.056118E-01  1.070164E-01  3.910771E+01
     9.0000    1.079684E-01  1.087605E-01  3.939067E+01
     9.0500    9.983519E-02  1.089002E-01  3.968082E+01
     9.1000    8.181532E-02  1.073100E-01  3.997366E+01
     9.1500    5.652138E-02  1.040266E-01  4.026630E+01
     9.2000    2.788217E-02  9.916740E-02  4.055570E+01
     9.2500    2.172397E-04  9.292951E-02  4.083837E+01
     9.3000   -2.276905E-02  8.559346E-02  4.110996E+01
     9.3500   -3.880181E-02  7.753392E-02  4.136482E+01
     9.4000   -4.744166E-02  6.923964E-02  4.159556E+01
     9.4500   -4.998362E-02  6.134159E-02  4.179316E+01
     9.5000   -4.889568E-02  5.462983E-02  4.194922E+01
     9.5500   -4.687457E-02  4.991633E-02  4.206060E+01
     9.6000   -4.634629E-02  4.806539E-02  4.214325E+01
     9.6500   -4.843427E-02  4.924259E-02  4.223006E+01
     9.7000   -5.275865E-02  5.285634E-02  4.235070E+01
     9.7500   -5.761875E-02  5.793113E-02  4.251540E+01
     9.8000   -6.056203E-02  6.355075E-02  4.271941E+01
     9.8500   -5.915210E-02  6.903557E-02  4.295320E+01
     9.9000   -5.170281E-02  7.393651E-02  4.320790E+01
     9.9500   -3.777402E-02  7.798195E-02  4.347663E+01
    10.0000   -1.831098E-02  8.103031E-02  4.375435E+01
    10.0500    4.678861E-03  8.336559E-02  4.403845E+01
    10.1000    2.853921E-02  8.468354E-02  4.432604E+01
    10.1500    5.029015E-02  8.503338E-02  4.461511E+01
    10.2000    6.733144E-02  8.450297E-02  4.490427E+01
    10.2500    7.785479E-02  8.320306E-02  4.519259E+01
    10.3000    8.103251E-02  8.125168E-02  4.547963E+01
    10.3500    7.699176E-02  7.875898E-02  4.576533E+01
    10.4000    6.664273E-02  7.581354E-02  4.605006E+01
    10.4500    5.145120E-02  7.247180E-02  4.633447E+01
    10.5000    3.322911E-02  6.875209E-02  4.661945E+01
    10.5500    1.397320E-02  6.463451E-02  4.690598E+01
    10.6000   -4.265736E-03  6.006674E-02  4.719497E+01
    10.6500   -1.953006E-02  5.497486E-02  4.748708E+01
    10.7000   -3.016167E-02  4.927713E-02  4.778258E+01
    10.7500   -3.507400E-02  4.289868E-02  4.808112E+01
    10.8000   -3.404149E-02  3.578513E-02  4.838124E+01
    10.8500   -2.791116E-02  2.791461E-02  4.867896E+01
    10.9000   -1.862438E-02  1.931159E-02  4.896226E+01
    10.9500   -8.966124E-03  1.009788E-02  4.917268E+01
    11.0000   -2.031036E-03  2.441652E-03  4.810628E+01
