# Merge in e space of:
# ** C:/spectra for calibration/inasp_1.dat (inasp_1)
# ** C:/spectra for calibration/inasp_2.dat (inasp_2)
# ** C:/spectra for calibration/inasp_3.dat (inasp_3)
#------------------------
#   ee        xmu        bkg        stddev
  11900.066       0.80603500       0.82359249       0.35202913E-01
  11900.496       0.80364800       0.82320497       0.35098401E-01
  11900.944       0.80172433       0.82280450       0.35160639E-01
  11901.390       0.79980533       0.82240746       0.34928443E-01
  11901.837       0.79857933       0.82201214       0.35202834E-01
  11902.301       0.79666033       0.82160503       0.34852057E-01
  11902.749       0.79451333       0.82121379       0.35261668E-01
  11903.212       0.79240100       0.82081194       0.35547922E-01
  11903.677       0.78960700       0.82041172       0.35239654E-01
  11904.124       0.78715500       0.82002873       0.35382314E-01
  11904.606       0.78441033       0.81961899       0.35198379E-01
  11905.070       0.78147967       0.81922641       0.35210067E-01
  11905.553       0.77915367       0.81882104       0.35347845E-01
  11906.016       0.77665833       0.81843426       0.35199851E-01
  11906.499       0.77500200       0.81803397       0.35163353E-01
  11906.980       0.77319300       0.81763778       0.35259909E-01
  11907.462       0.77159467       0.81724260       0.35184091E-01
  11907.962       0.77037267       0.81683593       0.35196377E-01
  11908.442       0.76974967       0.81644716       0.35282825E-01
  11908.942       0.76968633       0.81604554       0.35275818E-01
  11909.442       0.76945633       0.81564643       0.35169575E-01
  11909.941       0.76959233       0.81525051       0.35088534E-01
  11910.440       0.76988767       0.81485630       0.34946697E-01
  11910.957       0.77021667       0.81445104       0.35221145E-01
  11911.456       0.77093033       0.81406234       0.35183870E-01
  11911.973       0.77196167       0.81366196       0.35073025E-01
  11912.490       0.77306433       0.81326400       0.35105325E-01
  11913.007       0.77480367       0.81286841       0.35232064E-01
  11913.540       0.77690933       0.81246286       0.35384723E-01
  11914.057       0.77926067       0.81207195       0.35639469E-01
  11914.592       0.78170633       0.81166970       0.35398935E-01
  11915.108       0.78446667       0.81128402       0.35322014E-01
  11915.643       0.78693500       0.81088632       0.35538066E-01
  11916.194       0.79028233       0.81047883       0.35529375E-01
  11916.728       0.79383400       0.81008635       0.35425880E-01
  11917.279       0.79761367       0.80968346       0.35299176E-01
  11917.815       0.80129567       0.80929379       0.35394282E-01
  11918.366       0.80580067       0.80889520       0.35160443E-01
  11918.919       0.81053133       0.80849799       0.35263590E-01
  11919.470       0.81508067       0.80810354       0.35040789E-01
  11920.040       0.82001167       0.80769752       0.35177724E-01
  11920.591       0.82436300       0.80730698       0.35035813E-01
  11921.160       0.82920833       0.80690636       0.34974524E-01
  11921.730       0.83410433       0.80650627       0.34966882E-01
  11922.298       0.83862433       0.80610938       0.35283187E-01
  11922.869       0.84273333       0.80571298       0.35053610E-01
  11923.455       0.84661933       0.80530714       0.35311321E-01
  11924.026       0.84986000       0.80491423       0.35093321E-01
  11924.612       0.85236400       0.80451186       0.35332351E-01
  11925.199       0.85423567       0.80411108       0.35366165E-01
  11925.785       0.85525533       0.80371195       0.35401725E-01
  11926.372       0.85557233       0.80331373       0.35632968E-01
  11926.977       0.85503667       0.80290530       0.35402040E-01
  11927.564       0.85369133       0.80251057       0.35414468E-01
  11928.169       0.85142033       0.80210437       0.35547616E-01
  11928.774       0.84861100       0.80170015       0.35376744E-01
  11929.378       0.84528400       0.80129779       0.35276405E-01
  11930.000       0.84205367       0.80088398       0.35743314E-01
  11930.606       0.83857100       0.80048266       0.35301266E-01
  11931.228       0.83455333       0.80007167       0.35208067E-01
  11931.850       0.83109733       0.79966168       0.35564626E-01
  11932.471       0.82700567       0.79925261       0.35525685E-01
  11933.094       0.82265900       0.79884379       0.35184261E-01
  11933.717       0.81803267       0.79843567       0.35273690E-01
  11934.357       0.81301300       0.79801705       0.35177458E-01
  11934.978       0.80787667       0.79761087       0.34951071E-01
  11935.618       0.80305300       0.79719341       0.35227393E-01
  11936.259       0.79852933       0.79677576       0.34961618E-01
