MRCAT_XAFS V0.3 Datafile
"femag.001" created at APS Sector 10-ID on Sat Jun  9 09:54:35 2001
Ring energy= 7.00 GeV
E0= 7100.00
NUM_REGIONS= 1
SRB= 6900
SRSS= 1
SPP= 0.4
Settling time= 0

***** DATA : LN( I0/IT )    REFERENCE : LN( IT/IRef ) *****

Offsets= 0.00 11495.56 11977.89 306.44 11092.78 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 6.00 7.00 9.00 7.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Fe K-edge 
Fe3O4 thin film
 
------------------------------------------------------------------------------------------------
   energy joerger_timer       Io       It       If     Iref 
 7104.4137  12890650 32310 91335 772.5 165917.5
 7105.6336  12889910 32297.5 91317.5 872.5 163192.5
 7106.8967  12890425 32405 91605 1070 153957.5
 7108.1604  15469850 38862.5 109595 2132.5 162185
 7109.4031  12888382 32440 90902.5 3325 124977.5
 7110.6033  12890992 32572.5 91355 3230 120230
 7111.8255  12889450 32600 91662.5 2860 118207.5
 7113.0695  12890478 32557.5 91480 3175 116465
 7114.3354  12889822 32722.5 91577.5 4300 112012.5
 7115.6018  12890495 32627.5 90430 6632.5 106137.5
 7116.8257  12890002 32695 89082.5 10525 100692.5
 7118.0286  15469142 39387.5 105060 18297.5 116340
 7119.2963  12889722 32762.5 85470 20047.5 94735
 7120.5216  12891148 32822.5 83500 25372.5 93387.5
 7121.8118  12889085 32742.5 81420 29917.5 92140
 7123.0379  12891502 32815 80162.5 33597.5 91235
 7124.286   12888970 32905 78617.5 38140 90312.5
 7125.5131  12890545 32737.5 76167.5 42992.5 88975
 7126.7405  15467515 39400 90280 55050 106005
 7128.0331  12890768 32812.5 75465 45230 88342.5
 7129.2615  12889730 32892.5 76617.5 43162.5 89267.5
 7130.5334  12891000 32920 77847.5 40610 90030
 7131.7411  12889478 33157.5 79192.5 39167.5 90810
 7132.9708  12890912 32960 79155 38062.5 90665
 7134.2441  12889390 32995 79557.5 37477.5 90312.5
 7135.5179  15468540 39530 95820 43907.5 108055
 7136.749   12890342 33200 80935 35900 89830
 7138.0021  12890180 33180 81145 35420 89662.5
 7139.2124  12890318 33167.5 81155 35505 89597.5
 7140.4448  12890302 33252.5 81312.5 35867.5 89750
 7141.7209  12889880 33150 81080 35850 89470
