# data from ifeffit
#------------------------
#   lambda    xmu
  1.2460697        2.2199930
  1.2453053        2.2135460
  1.2445343        2.2077830
  1.2437769        2.2049020
  1.2430125        2.2021340
  1.2422416        2.1992680
  1.2414772        2.1912430
  1.2407062        2.1848930
  1.2399351        2.1819880
  1.2391572        2.1758890
  1.2383861        2.1684000
  1.2376086        2.1614250
  1.2368308        2.1556880
  1.2360527        2.1511780
  1.2352682        2.1455700
  1.2344897        2.1393510
  1.2337060        2.1350550
  1.2329208        2.1317820
  1.2321367        2.1317620
  1.2313510        2.1320800
  1.2305603        2.1279860
  1.2297682        2.1227870
  1.2289710        2.1165600
  1.2281857        2.1120590
  1.2273942        2.1072030
  1.2266025        2.1014530
  1.2258045        2.0947870
  1.2250064        2.0891340
  1.2242081        2.0827590
  1.2234096        2.0781820
  1.2225977        2.0734630
  1.2217989        2.0680760
  1.2210012        2.0634730
  1.2201961        2.0610480
  1.2193836        2.0558530
  1.2185794        2.0495330
  1.2177668        2.0429400
  1.2169552        2.0365710
  1.2161494        2.0312280
  1.2153376        2.0260540
  1.2145257        2.0212010
  1.2137136        2.0172160
  1.2128955        2.0140190
  1.2120703        2.0113500
  1.2112580        2.0079600
  1.2104456        2.0035550
  1.2096201        1.9974550
  1.2088016        1.9919100
  1.2079760        1.9882980
  1.2071504        1.9834550
  1.2063247        1.9787910
  1.2054990        1.9748100
  1.2046802        1.9696600
  1.2038416        1.9644340
  1.2030157        1.9602770
  1.2021899        1.9552220
  1.2013500        1.9496100
  1.2005252        1.9435820
  1.1996854        1.9374610
  1.1988594        1.9319020
  1.1980207        1.9267810
  1.1971809        1.9222930
  1.1963422        1.9181790
  1.1955025        1.9132250
  1.1946638        1.9081010
  1.1938241        1.9025900
  1.1929844        1.8973500
  1.1921447        1.8923020
  1.1912994        1.8882400
  1.1904598        1.8849450
  1.1896134        1.8808800
  1.1887671        1.8752090
  1.1879140        1.8691170
  1.1870678        1.8648100
  1.1862217        1.8597300
  1.1853688        1.8547030
  1.1845161        1.8509270
  1.1836623        1.8460620
  1.1828097        1.8414540
  1.1819561        1.8369490
  1.1811038        1.8320290
  1.1802437        1.8272660
  1.1793904        1.8220910
  1.1785306        1.8166150
  1.1776708        1.8112860
  1.1768101        1.8060910
  1.1759507        1.8010560
  1.1750903        1.7959750
  1.1742300        1.7904570
